step,reward,cpu_temp,gpu_temp,fan_rpm
150,12.363428,88.0,71.0,5201.5522
151,10.929813,87.0,71.0,5745.947
152,9.924662,87.0,71.0,6000.0
153,11.449721,87.0,71.0,6000.0
154,10.449721,87.0,71.0,6000.0
155,9.8073435,87.0,72.0,5077.9688
156,10.933645,87.0,71.0,4699.064
157,10.489188,88.0,72.0,4800.684
158,8.600549,87.0,72.0,5800.684
159,10.401137,87.0,71.0,5272.0566
160,10.940707,87.0,73.0,4375.1196
161,10.549915,87.0,72.0,3375.1196
162,10.376186,87.0,72.0,3896.3076
163,10.150005,87.0,71.0,4896.3076
164,9.763136,87.0,71.0,5675.5386
165,10.626444,87.0,71.0,4675.5386
166,11.41404,87.0,71.0,3836.559
167,11.909854,87.0,71.0,2836.559
168,12.224827,86.0,70.0,1836.5591
169,13.062123,87.0,70.0,1453.0955
170,12.897726,88.0,70.0,1595.0599
171,12.04582,88.0,70.0,1637.0808
172,11.704328,87.0,70.0,2637.0808
173,11.651265,87.0,70.0,2309.6414
174,12.77435,87.0,70.0,2148.666
175,11.807892,87.0,70.0,1148.666
176,12.131663,87.0,70.0,148.66602
177,12.078459,87.0,70.0,716.43787
178,-17.65665,96.0,70.0,1106.2898
179,11.705473,90.0,71.0,106.289795
180,-3.2482295,93.0,70.0,221.00673
181,-19.028929,96.0,71.0,0.0
182,-17.973484,96.0,71.0,279.36856
183,-18.839876,96.0,71.0,1019.62744
184,-18.62385,96.0,72.0,609.4728
185,-19.506538,96.0,72.0,19.616272
186,10.5,89.0,72.0,0.0
187,8.437602,89.0,72.0,600.00055
188,9.846531,89.0,72.0,121.39105
189,9.975272,88.0,72.0,0.0
190,11.238241,87.0,72.0,491.88168
191,11.676321,89.0,72.0,0.0
192,12.480213,88.0,71.0,0.0
193,14.399087,88.0,71.0,90.49241
194,15.195892,88.0,71.0,0.0
195,16.019163,89.0,71.0,530.1888
196,15.195892,87.0,71.0,0.0
197,14.195892,87.0,71.0,0.0
198,12.884295,88.0,71.0,1000.0
199,12.852068,88.0,71.0,0.0
200,11.168148,87.0,71.0,1000.0
201,9.7013235,87.0,71.0,757.0172
202,11.388395,88.0,71.0,449.65567
203,13.083903,87.0,70.0,1363.132
204,11.928334,87.0,70.0,2090.2207
205,11.165983,87.0,70.0,1532.2603
206,11.189522,87.0,70.0,1720.2423
207,11.786885,87.0,70.0,2074.0168
208,10.598753,88.0,70.0,2703.7407
209,10.273262,87.0,70.0,3680.2139
210,10.1432905,87.0,71.0,3088.0127
211,10.137329,87.0,70.0,4088.0127
212,9.247834,87.0,70.0,5088.0127
213,9.967198,87.0,70.0,5445.719
